#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
AKT1	EP300	1846136	1845316	ENSP00000270202	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.963	0.900	0.810	0.999
HIF1A	EP300	1852062	1845316	ENSP00000338018	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.914	0.999
SHC1	CDK2	1860266	1845906	ENSP00000401303	ENSP00000266970	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.418	0.418
CDK2	CCND1	1845906	1843117	ENSP00000266970	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.985	0.720	0.992	0.999
AKT1	SIRT1	1846136	1842473	ENSP00000270202	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.596	0.000	0.930	0.971
SOS1	EGFR	1858968	1846445	ENSP00000384675	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.995	0.900	0.687	0.999
GAB2	PLCG1	1854264	1843693	ENSP00000354952	ENSP00000244007	0.000	0.000	0.000	0.000	0.000	0.567	0.000	0.194	0.636
SRC	FRS2	1853652	1848041	ENSP00000350941	ENSP00000299293	0.000	0.000	0.000	0.000	0.000	0.573	0.900	0.908	0.995
CREB1	AKT1	1859295	1846136	ENSP00000387699	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.987	0.999
MDM2	CCND1	1861282	1843117	ENSP00000417281	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.650	0.650
CDK4	SIRT1	1844551	1842473	ENSP00000257904	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.130	0.000	0.739	0.763
SRC	GAB1	1853652	1845263	ENSP00000350941	ENSP00000262995	0.000	0.000	0.000	0.000	0.000	0.244	0.900	0.856	0.988
MDM2	IGF1R	1861282	1845984	ENSP00000417281	ENSP00000268035	0.000	0.000	0.000	0.000	0.000	0.974	0.800	0.357	0.996
IGF1R	CCND1	1845984	1843117	ENSP00000268035	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.654	0.654
SRC	CDKN1A	1853652	1843736	ENSP00000350941	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.581	0.581
BRCA1	CDKN2A	1861387	1859838	ENSP00000418960	ENSP00000394932	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.720	0.876
ATM	CDKN1A	1846577	1843736	ENSP00000278616	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.755	0.974
EGFR	STAT3	1846445	1845584	ENSP00000275493	ENSP00000264657	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.985	0.999
CREB1	CDKN1A	1859295	1843736	ENSP00000387699	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.541	0.952
GAB2	GRB2	1854264	1852164	ENSP00000354952	ENSP00000339007	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.960	0.999
SOS1	GAB1	1858968	1845263	ENSP00000384675	ENSP00000262995	0.000	0.000	0.000	0.000	0.000	0.883	0.900	0.381	0.992
MAPK8	EP300	1853988	1845316	ENSP00000353483	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.558	0.953
CDKN2A	CDK2	1859838	1845906	ENSP00000394932	ENSP00000266970	0.000	0.000	0.000	0.000	0.000	0.451	0.000	0.974	0.985
SHC1	SP1	1860266	1851138	ENSP00000401303	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.567	0.000	0.159	0.620
SRC	EP300	1853652	1845316	ENSP00000350941	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.591	0.000	0.612	0.834
STAT3	CCND1	1845584	1843117	ENSP00000264657	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.915	0.900	0.952	0.999
CREB1	ATM	1859295	1846577	ENSP00000387699	ENSP00000278616	0.000	0.000	0.000	0.000	0.000	0.808	0.000	0.959	0.991
SOS1	LCP2	1858968	1842217	ENSP00000384675	ENSP00000046794	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.340	0.931
CDKN2A	CCND1	1859838	1843117	ENSP00000394932	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.803	0.900	0.972	0.999
CCNE1	CCND1	1845190	1843117	ENSP00000262643	ENSP00000227507	0.000	0.000	0.000	0.669	0.000	0.000	0.900	0.868	0.928
SRC	IGF1R	1853652	1845984	ENSP00000350941	ENSP00000268035	0.000	0.000	0.000	0.737	0.000	0.576	0.900	0.949	0.966
MAPK8	ATM	1853988	1846577	ENSP00000353483	ENSP00000278616	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.449	0.449
SHC1	IGF1R	1860266	1845984	ENSP00000401303	ENSP00000268035	0.000	0.000	0.000	0.000	0.000	0.996	0.900	0.978	0.999
IGF1R	PLCG1	1845984	1843693	ENSP00000268035	ENSP00000244007	0.000	0.000	0.000	0.000	0.000	0.115	0.800	0.239	0.853
KAT2B	PLCG1	1845408	1843693	ENSP00000263754	ENSP00000244007	0.000	0.000	0.000	0.000	0.000	0.286	0.000	0.197	0.402
TP53	SIRT1	1846083	1842473	ENSP00000269305	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.943	0.999
CREB1	PCNA	1859295	1856984	ENSP00000387699	ENSP00000368438	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.535	0.535
CDKN2A	MAPK8	1859838	1853988	ENSP00000394932	ENSP00000353483	0.000	0.000	0.000	0.000	0.000	0.567	0.000	0.384	0.722
CDKN2A	STAT3	1859838	1845584	ENSP00000394932	ENSP00000264657	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.512	0.512
CREB1	TP53	1859295	1846083	ENSP00000387699	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.972	0.000	0.938	0.998
BRCA1	CDKN1A	1861387	1843736	ENSP00000418960	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.567	0.000	0.633	0.834
HIF1A	CCND1	1852062	1843117	ENSP00000338018	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.548	0.548
CDKN2A	CHEK2	1859838	1857546	ENSP00000394932	ENSP00000372023	0.000	0.000	0.000	0.000	0.000	0.119	0.000	0.607	0.639
CHEK2	CDK4	1857546	1844551	ENSP00000372023	ENSP00000257904	0.000	0.000	0.000	0.672	0.000	0.260	0.000	0.765	0.443
SRC	CCND1	1853652	1843117	ENSP00000350941	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.564	0.000	0.944	0.975
SRC	PLCG1	1853652	1843693	ENSP00000350941	ENSP00000244007	0.000	0.000	0.000	0.615	0.000	0.808	0.900	0.657	0.984
HIPK2	HIF1A	1859047	1852062	ENSP00000385571	ENSP00000338018	0.000	0.000	0.000	0.000	0.083	0.000	0.000	0.847	0.853
HIPK2	CREBBP	1859047	1845124	ENSP00000385571	ENSP00000262367	0.000	0.000	0.000	0.000	0.073	0.576	0.000	0.384	0.737
SHC1	CBL	1860266	1845465	ENSP00000401303	ENSP00000264033	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.794	0.999
TP53	CCNE1	1846083	1845190	ENSP00000269305	ENSP00000262643	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.770	0.770
SRC	HIF1A	1853652	1852062	ENSP00000350941	ENSP00000338018	0.000	0.000	0.000	0.000	0.000	0.566	0.000	0.913	0.961
ATM	CREBBP	1846577	1845124	ENSP00000278616	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.103	0.000	0.411	0.449
IRS1	FRS2	1848682	1848041	ENSP00000304895	ENSP00000299293	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.447	0.447
BRCA1	H2AFX	1861387	1856252	ENSP00000418960	ENSP00000364310	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.814	0.999
BRCA1	EGFR	1861387	1846445	ENSP00000418960	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.700
SHC1	GAB1	1860266	1845263	ENSP00000401303	ENSP00000262995	0.000	0.000	0.000	0.000	0.080	0.925	0.900	0.507	0.996
SPRY2	FRS2	1856611	1848041	ENSP00000366306	ENSP00000299293	0.000	0.000	0.000	0.000	0.000	0.570	0.900	0.447	0.974
KAT2B	CDKN1A	1845408	1843736	ENSP00000263754	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.898	0.898
MAPK8	TP53	1853988	1846083	ENSP00000353483	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.942	0.999
SHC1	ERBB2	1860266	1846101	ENSP00000401303	ENSP00000269571	0.000	0.000	0.000	0.000	0.000	0.990	0.900	0.908	0.999
SHC1	GAB2	1860266	1854264	ENSP00000401303	ENSP00000354952	0.000	0.000	0.000	0.000	0.080	0.961	0.900	0.905	0.999
EPS15	GRB2	1855539	1852164	ENSP00000360798	ENSP00000339007	0.000	0.000	0.000	0.000	0.000	0.834	0.900	0.903	0.998
CDKN2A	CCNE1	1859838	1845190	ENSP00000394932	ENSP00000262643	0.000	0.000	0.000	0.000	0.000	0.566	0.000	0.608	0.822
PCNA	CDKN1A	1856984	1843736	ENSP00000368438	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.962	0.999
BRCA1	IGF1R	1861387	1845984	ENSP00000418960	ENSP00000268035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.466	0.465
PCNA	EP300	1856984	1845316	ENSP00000368438	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.962	0.000	0.534	0.981
CDKN2A	ERBB2	1859838	1846101	ENSP00000394932	ENSP00000269571	0.000	0.000	0.000	0.000	0.000	0.099	0.000	0.655	0.676
PCNA	AKT1	1856984	1846136	ENSP00000368438	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.715	0.715
STAT3	CDKN1A	1845584	1843736	ENSP00000264657	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.937	0.000	0.921	0.994
AKT1	STAT3	1846136	1845584	ENSP00000270202	ENSP00000264657	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.973	0.974
PCNA	EGFR	1856984	1846445	ENSP00000368438	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.719	0.876
SOS1	AKT1	1858968	1846136	ENSP00000384675	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.254	0.900	0.554	0.963
GAB2	GAB1	1854264	1845263	ENSP00000354952	ENSP00000262995	0.000	0.000	0.000	0.852	0.000	0.570	0.900	0.403	0.957
CCNE1	CDK4	1845190	1844551	ENSP00000262643	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.693	0.800	0.938	0.995
CREB1	HIF1A	1859295	1852062	ENSP00000387699	ENSP00000338018	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.653	0.963
HIF1A	IGF1R	1852062	1845984	ENSP00000338018	ENSP00000268035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.463	0.463
CREB1	GRB2	1859295	1852164	ENSP00000387699	ENSP00000339007	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.524	0.950
SP1	CDKN1A	1851138	1843736	ENSP00000329357	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.567	0.900	0.908	0.995
GAB2	ERBB2	1854264	1846101	ENSP00000354952	ENSP00000269571	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.611	0.611
TP53	IGF1R	1846083	1845984	ENSP00000269305	ENSP00000268035	0.000	0.000	0.000	0.000	0.000	0.567	0.000	0.941	0.973
SOS1	IRS1	1858968	1848682	ENSP00000384675	ENSP00000304895	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.346	0.931
MDM2	CDKN1A	1861282	1843736	ENSP00000417281	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.997	0.000	0.731	0.999
SRC	AKT1	1853652	1846136	ENSP00000350941	ENSP00000270202	0.000	0.000	0.378	0.622	0.000	0.868	0.900	0.987	0.992
SRC	TP53	1853652	1846083	ENSP00000350941	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.811	0.811
MAPK8	GRB2	1853988	1852164	ENSP00000353483	ENSP00000339007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.653	0.653
GAB2	SRC	1854264	1853652	ENSP00000354952	ENSP00000350941	0.000	0.000	0.000	0.000	0.000	0.586	0.000	0.897	0.955
SPRY2	GRB2	1856611	1852164	ENSP00000366306	ENSP00000339007	0.000	0.000	0.000	0.000	0.000	0.992	0.900	0.971	0.999
AKT1	CREBBP	1846136	1845124	ENSP00000270202	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.823	0.900	0.897	0.998
HIPK2	KAT2B	1859047	1845408	ENSP00000385571	ENSP00000263754	0.000	0.000	0.000	0.000	0.000	0.569	0.000	0.393	0.727
CDKN2A	PCNA	1859838	1856984	ENSP00000394932	ENSP00000368438	0.000	0.000	0.000	0.000	0.000	0.254	0.000	0.659	0.734
ERBB2	CBL	1846101	1845465	ENSP00000269571	ENSP00000264033	0.000	0.000	0.000	0.000	0.000	0.849	0.000	0.776	0.964
EP300	CDK4	1845316	1844551	ENSP00000263253	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.099	0.900	0.693	0.969
GAB2	CBL	1854264	1845465	ENSP00000354952	ENSP00000264033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.471	0.471
CDKN1A	SIRT1	1843736	1842473	ENSP00000244741	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.504	0.948
TP53	CBL	1846083	1845465	ENSP00000269305	ENSP00000264033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.472	0.472
EGFR	AKT1	1846445	1846136	ENSP00000275493	ENSP00000270202	0.000	0.000	0.000	0.617	0.000	0.425	0.000	0.994	0.644
STAT3	EP300	1845584	1845316	ENSP00000264657	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.992	0.900	0.795	0.999
BRCA1	EP300	1861387	1845316	ENSP00000418960	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.983	0.000	0.568	0.992
MDM2	HIPK2	1861282	1859047	ENSP00000417281	ENSP00000385571	0.000	0.000	0.000	0.000	0.000	0.912	0.000	0.500	0.954
MAPK8	GAB1	1853988	1845263	ENSP00000353483	ENSP00000262995	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.070	0.903
CREB1	SRC	1859295	1853652	ENSP00000387699	ENSP00000350941	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.774	0.774
BRCA1	CHEK2	1861387	1857546	ENSP00000418960	ENSP00000372023	0.000	0.000	0.000	0.000	0.000	0.992	0.900	0.973	0.999
SPRY2	EPS15	1856611	1855539	ENSP00000366306	ENSP00000360798	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.152	0.911
SPRY2	HIF1A	1856611	1852062	ENSP00000366306	ENSP00000338018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.469	0.470
CDKN2A	SIRT1	1859838	1842473	ENSP00000394932	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.129	0.000	0.431	0.483
SPRY2	SRC	1856611	1853652	ENSP00000366306	ENSP00000350941	0.000	0.000	0.000	0.000	0.000	0.087	0.900	0.833	0.983
EGFR	IGF1R	1846445	1845984	ENSP00000275493	ENSP00000268035	0.000	0.000	0.000	0.625	0.000	0.819	0.000	0.969	0.884
EGFR	CREBBP	1846445	1845124	ENSP00000275493	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.426	0.426
STAT3	CDK4	1845584	1844551	ENSP00000264657	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.149	0.000	0.578	0.626
EGFR	ERBB2	1846445	1846101	ENSP00000275493	ENSP00000269571	0.000	0.000	0.000	0.947	0.000	0.999	0.900	0.988	0.999
CBL	PLCG1	1845465	1843693	ENSP00000264033	ENSP00000244007	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.471	0.999
HIF1A	CREBBP	1852062	1845124	ENSP00000338018	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.998	0.900	0.871	0.999
MAPK8	CBL	1853988	1845465	ENSP00000353483	ENSP00000264033	0.000	0.000	0.000	0.000	0.000	0.810	0.000	0.384	0.878
BRCA1	STAT3	1861387	1845584	ENSP00000418960	ENSP00000264657	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.424	0.745
PLCG1	LCP2	1843693	1842217	ENSP00000244007	ENSP00000046794	0.000	0.000	0.000	0.617	0.000	0.982	0.900	0.957	0.998
GRB2	STAT3	1852164	1845584	ENSP00000339007	ENSP00000264657	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.705	0.969
CDKN2A	H2AFX	1859838	1856252	ENSP00000394932	ENSP00000364310	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.530	0.530
AKT1	IGF1R	1846136	1845984	ENSP00000270202	ENSP00000268035	0.000	0.000	0.000	0.617	0.000	0.227	0.000	0.987	0.519
TP53	CDK4	1846083	1844551	ENSP00000269305	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.988	0.988
PCNA	KAT2B	1856984	1845408	ENSP00000368438	ENSP00000263754	0.000	0.000	0.000	0.000	0.000	0.573	0.000	0.447	0.753
HIPK2	TP53	1859047	1846083	ENSP00000385571	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.998	0.900	0.952	0.999
ATM	EGFR	1846577	1846445	ENSP00000278616	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.505	0.505
SHC1	EGFR	1860266	1846445	ENSP00000401303	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.989	0.999
CREBBP	CDKN1A	1845124	1843736	ENSP00000262367	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.860	0.000	0.530	0.931
CREB1	KAT2B	1859295	1845408	ENSP00000387699	ENSP00000263754	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.802	0.802
CDKN2A	TP53	1859838	1846083	ENSP00000394932	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.997	0.900	0.981	0.999
MAPK8	IGF1R	1853988	1845984	ENSP00000353483	ENSP00000268035	0.000	0.000	0.000	0.000	0.000	0.107	0.000	0.514	0.548
SP1	AKT1	1851138	1846136	ENSP00000329357	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.101	0.000	0.557	0.585
IRS1	CCND1	1848682	1843117	ENSP00000304895	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.518	0.518
ATM	CDK2	1846577	1845906	ENSP00000278616	ENSP00000266970	0.000	0.000	0.000	0.000	0.000	0.071	0.900	0.838	0.983
GAB1	PLCG1	1845263	1843693	ENSP00000262995	ENSP00000244007	0.000	0.000	0.000	0.000	0.000	0.825	0.900	0.101	0.982
ERBB2	EP300	1846101	1845316	ENSP00000269571	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.527	0.527
STAT3	CBL	1845584	1845465	ENSP00000264657	ENSP00000264033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.499
CREB1	CCND1	1859295	1843117	ENSP00000387699	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.929	0.992
SOS1	GAB2	1858968	1854264	ENSP00000384675	ENSP00000354952	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.306	0.927
KAT2B	SIRT1	1845408	1842473	ENSP00000263754	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.668	0.900	0.948	0.998
CDKN2A	EGFR	1859838	1846445	ENSP00000394932	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.099	0.000	0.715	0.733
HIPK2	EP300	1859047	1845316	ENSP00000385571	ENSP00000263253	0.000	0.000	0.000	0.000	0.073	0.569	0.000	0.477	0.773
GAB2	AKT1	1854264	1846136	ENSP00000354952	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.566	0.900	0.507	0.976
PCNA	CCNE1	1856984	1845190	ENSP00000368438	ENSP00000262643	0.000	0.000	0.000	0.000	0.115	0.000	0.900	0.542	0.955
PCNA	CDK4	1856984	1844551	ENSP00000368438	ENSP00000257904	0.000	0.000	0.000	0.000	0.168	0.916	0.900	0.891	0.999
MDM2	CDK4	1861282	1844551	ENSP00000417281	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.757	0.757
CHEK2	ATM	1857546	1846577	ENSP00000372023	ENSP00000278616	0.000	0.000	0.000	0.000	0.000	0.994	0.900	0.994	0.999
SOS1	PLCG1	1858968	1843693	ENSP00000384675	ENSP00000244007	0.000	0.000	0.000	0.000	0.000	0.925	0.900	0.393	0.995
GRB2	CDK2	1852164	1845906	ENSP00000339007	ENSP00000266970	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.418	0.418
CDK2	CREBBP	1845906	1845124	ENSP00000266970	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.725	0.000	0.784	0.938
SOS1	SRC	1858968	1853652	ENSP00000384675	ENSP00000350941	0.000	0.000	0.000	0.000	0.000	0.227	0.900	0.640	0.969
IRS1	IGF1R	1848682	1845984	ENSP00000304895	ENSP00000268035	0.000	0.000	0.000	0.000	0.000	0.989	0.900	0.988	0.999
SP1	CREBBP	1851138	1845124	ENSP00000329357	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.824	0.900	0.472	0.989
HIF1A	ERBB2	1852062	1846101	ENSP00000338018	ENSP00000269571	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.915	0.915
GRB2	TP53	1852164	1846083	ENSP00000339007	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.353	0.000	0.567	0.707
HIF1A	AKT1	1852062	1846136	ENSP00000338018	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.102	0.900	0.976	0.997
BRCA1	CDK4	1861387	1844551	ENSP00000418960	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.916	0.900	0.518	0.995
SOS1	SPRY2	1858968	1856611	ENSP00000384675	ENSP00000366306	0.000	0.000	0.000	0.000	0.000	0.337	0.900	0.194	0.941
TP53	CCND1	1846083	1843117	ENSP00000269305	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.979	0.979
BRCA1	ATM	1861387	1846577	ENSP00000418960	ENSP00000278616	0.000	0.000	0.000	0.000	0.000	0.994	0.900	0.972	0.999
SP1	TP53	1851138	1846083	ENSP00000329357	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.910	0.999
EP300	CREBBP	1845316	1845124	ENSP00000263253	ENSP00000262367	0.000	0.000	0.000	0.954	0.000	0.922	0.900	0.909	0.992
USP7	RCHY1	1852711	1850323	ENSP00000343535	ENSP00000321239	0.000	0.000	0.000	0.000	0.065	0.000	0.000	0.472	0.485
USP7	ATM	1852711	1846577	ENSP00000343535	ENSP00000278616	0.000	0.000	0.000	0.000	0.090	0.000	0.000	0.413	0.443
EP300	CDKN1A	1845316	1843736	ENSP00000263253	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.914	0.900	0.658	0.996
H2AFX	TP53	1856252	1846083	ENSP00000364310	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.826	0.923
ERBB2	IGF1R	1846101	1845984	ENSP00000269571	ENSP00000268035	0.000	0.000	0.000	0.624	0.000	0.591	0.000	0.955	0.737
BRCA1	SIRT1	1861387	1842473	ENSP00000418960	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.673	0.000	0.393	0.793
BRCA1	KAT2B	1861387	1845408	ENSP00000418960	ENSP00000263754	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.420	0.420
BRCA1	TP53	1861387	1846083	ENSP00000418960	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.974	0.999
BRCA1	SP1	1861387	1851138	ENSP00000418960	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.917	0.000	0.325	0.941
SOS1	ERBB2	1858968	1846101	ENSP00000384675	ENSP00000269571	0.000	0.000	0.000	0.000	0.000	0.564	0.900	0.448	0.973
PCNA	SRC	1856984	1853652	ENSP00000368438	ENSP00000350941	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.535	0.535
SOS1	GRB2	1858968	1852164	ENSP00000384675	ENSP00000339007	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.987	0.999
PCNA	SIRT1	1856984	1842473	ENSP00000368438	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.255	0.000	0.336	0.484
EGFR	GAB1	1846445	1845263	ENSP00000275493	ENSP00000262995	0.000	0.000	0.000	0.000	0.000	0.976	0.900	0.960	0.999
BRCA1	AKT1	1861387	1846136	ENSP00000418960	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.917	0.000	0.580	0.963
BRCA1	CCNE1	1861387	1845190	ENSP00000418960	ENSP00000262643	0.000	0.000	0.000	0.000	0.000	0.556	0.900	0.471	0.974
SHC1	TP53	1860266	1846083	ENSP00000401303	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.900
PCNA	HIF1A	1856984	1852062	ENSP00000368438	ENSP00000338018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.423	0.422
GRB2	EP300	1852164	1845316	ENSP00000339007	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.298	0.000	0.235	0.440
CHEK2	KAT2B	1857546	1845408	ENSP00000372023	ENSP00000263754	0.000	0.000	0.000	0.000	0.000	0.623	0.000	0.890	0.957
MDM2	PCNA	1861282	1856984	ENSP00000417281	ENSP00000368438	0.000	0.000	0.000	0.000	0.000	0.853	0.000	0.508	0.924
BRCA1	CCND1	1861387	1843117	ENSP00000418960	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.811	0.000	0.648	0.930
GRB2	ERBB2	1852164	1846101	ENSP00000339007	ENSP00000269571	0.000	0.000	0.000	0.000	0.000	0.997	0.900	0.978	0.999
AKT1	CCNE1	1846136	1845190	ENSP00000270202	ENSP00000262643	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.872	0.872
SRC	KAT2B	1853652	1845408	ENSP00000350941	ENSP00000263754	0.000	0.000	0.000	0.000	0.000	0.602	0.000	0.504	0.794
CDK4	CCND1	1844551	1843117	ENSP00000257904	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.995	0.999
CREB1	IGF1R	1859295	1845984	ENSP00000387699	ENSP00000268035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.610	0.610
MDM2	ATM	1861282	1846577	ENSP00000417281	ENSP00000278616	0.000	0.000	0.000	0.000	0.000	0.812	0.900	0.937	0.998
SP1	CCND1	1851138	1843117	ENSP00000329357	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.506	0.781
ATM	KAT2B	1846577	1845408	ENSP00000278616	ENSP00000263754	0.000	0.000	0.000	0.000	0.000	0.103	0.000	0.553	0.582
PCNA	TP53	1856984	1846083	ENSP00000368438	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.572	0.900	0.973	0.998
EGFR	TP53	1846445	1846083	ENSP00000275493	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.974	0.997
CDK4	CDKN1A	1844551	1843736	ENSP00000257904	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.974	0.999
